Year: 2018  Month: 01  ID: WDB  ARGOS:  9506  Name: WINDLESS BIGHT      
Lat: 77.73S  Lon: 167.70E  Elev:   40m
2018  26  1 26 2100   -6.4  986.8    2.1   82.6   84.0    1.0
2018  27  1 27 0000   -4.8  986.5    2.5   24.9   71.7    0.2
2018  27  1 27 0300   -7.6  985.5    3.4   99.6   83.1   -0.9
2018  27  1 27 0600   -6.4  985.9    2.2  122.1   81.8    1.2
2018  27  1 27 0900   -8.3  986.3    1.6   10.5   81.5   -0.5
2018  27  1 27 1200  444.0  986.9    0.5   71.1   94.5   -1.6
2018  27  1 27 1500  -10.4  987.3    2.5   94.6   79.5   -0.4
2018  27  1 27 1800  -11.7  988.4    2.1  104.8   91.0   -0.5
2018  27  1 27 2100   -9.6  989.3    2.4  124.2   83.7    0.7
2018  28  1 28 0000   -9.8  990.7    2.3   66.0   76.2    0.1
2018  28  1 28 0300  -11.1  991.2    4.1  113.8   84.2    0.0
2018  28  1 28 0600  -10.4  992.0    1.7   63.3   73.8    0.6
2018  28  1 28 0900  -12.0  991.7    1.7  159.9   92.7   -0.6
2018  28  1 28 1200  -11.4  992.0    0.2  168.9   93.5   -0.5
2018  28  1 28 1500  -12.0  991.6    0.6   86.7   92.5   -0.4
2018  28  1 28 1800  -11.9  991.1    0.4   85.2   89.8   -0.5
2018  28  1 28 2100  444.0  990.9    0.2  284.5   81.0    1.7
2018  29  1 29 0000   -9.7  991.3    0.0    0.0   57.2    4.2
2018  29  1 29 0300   -9.4  989.5    1.8   74.3   75.2    0.9
2018  29  1 29 0600   -9.4  988.5    2.4   68.9   77.9    0.9
2018  29  1 29 0900   -9.3  988.0    3.9   80.7   80.1    1.0
2018  29  1 29 1200  -10.7  986.4    2.4   49.4   82.5    0.2
2018  29  1 29 1500  -10.6  985.1    1.1  134.9   75.6    1.4
2018  29  1 29 1800  444.0  984.0    1.3  103.1   84.9   -1.0
2018  29  1 29 2100  444.0  983.9    1.2  164.7   77.1    1.1
2018  30  1 30 0000  444.0  983.8    0.2  204.7   67.1    2.4
2018  30  1 30 0300  444.0  983.3    0.9  114.1   77.5   -4.5
2018  30  1 30 0600   -9.0  982.5    2.1   93.9   84.6   -4.4
2018  30  1 30 0900  -14.3  983.2    1.6  203.5   87.2   -0.1
2018  30  1 30 1200  -21.5  984.8    1.0  304.4   97.8    1.4
2018  30  1 30 1500  -25.8  985.2    0.1  359.5   81.6   -0.5
2018  30  1 30 1800  -21.7  985.7    1.1    9.6   83.5    1.3
2018  30  1 30 2100  444.0  986.3    0.6  130.5   85.0    1.4
2018  31  1 31 0000  444.0  987.0    0.8   69.8   85.3   -1.0
2018  31  1 31 0300  444.0  987.4    1.3   82.2   88.6   -3.5
2018  31  1 31 0600   -9.7  988.4    0.5   57.7   94.4   -1.6
2018  31  1 31 0900  444.0  988.9    0.8  357.9   96.9   -0.6
2018  31  1 31 1200  -12.4  989.0    0.9   56.0   99.9   -0.6
2018  31  1 31 1500  -14.3  989.2    0.1   55.2   99.8   -0.5
2018  31  1 31 1800  444.0  989.5    0.7   57.1   85.7    0.6
2018  31  1 31 2100  444.0  989.6    1.3  356.6   84.6    0.9
